   GoodVibes v3.2 2023/08/03 10:14:10
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.2 DOI: 10.12688/f1000research.22758.1

o  Requested: 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for SVWN/def2SVP level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Structure                                           E        ZPE             H        T.S     T.qh-S          G(T)       qh-G(T)
   ********************************************************************************************************************************
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_bromide_1_smi1_1_s_1_ts  -7493.673888   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_chloride_1_smi1_1_s_1_ts  -5381.553697   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-cch_1_smi1_1_s_1_ts  -4998.820200   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-cn_1_smi1_1_s_1_ts  -5014.850350   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-icn_1_smi1_1_s_1_ts  -5089.687325   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-itcn_1_smi1_1_s_1_ts  -5411.913688   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-no2_1_smi1_1_s_1_ts  -5126.573533   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-oh_1_smi1_1_s_1_ts  -4997.982364   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_dft-sh_1_smi1_1_s_1_ts  -5320.252523   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-co_1_fluoride_1_smi1_1_s_1_ts  -5021.910689   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_bromide_1_smi1_1_s_1_ts  -7473.855869   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_chloride_1_smi1_1_s_1_ts  -5361.736799   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-cch_1_smi1_1_s_1_ts  -4979.003168   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-cn_1_smi1_1_s_1_ts  -4995.030150   Warning! Couldn't find frequency information ...
x  ir_tbp_1_dft-asme3_1_dft-asme3_1_dft-hicn_1_dft-icn_1_smi1_1_s_1_ts  -5069.871128   Warning! Couldn't find frequency information ...
